fonte,estacao,coluna,quantidade_null,percentual_null
INMET,SURUBIM,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),8137,92.63
INMET,SURUBIM,"UMIDADE RELATIVA DO AR, HORARIA (%)",8062,91.78
INMET,SURUBIM,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",5537,63.04
INMET,SURUBIM,"VENTO, RAJADA MAXIMA (m/s)",5600,63.75
INMET,SURUBIM,"VENTO, VELOCIDADE HORARIA (m/s)",5537,63.04
INMET,CABROBO,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",0,0.0
INMET,CABROBO,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",0,0.0
INMET,CABROBO,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),0,0.0
INMET,CABROBO,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),0,0.0
INMET,CABROBO,RADIACAO GLOBAL (Kj/m²),3977,45.28
INMET,CABROBO,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",0,0.0
INMET,CABROBO,TEMPERATURA DO PONTO DE ORVALHO (°C),536,6.1
INMET,CABROBO,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),0,0.0
INMET,CABROBO,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),0,0.0
INMET,CABROBO,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),570,6.49
INMET,CABROBO,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),570,6.49
INMET,CABROBO,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),568,6.47
INMET,CABROBO,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),568,6.47
INMET,CABROBO,"UMIDADE RELATIVA DO AR, HORARIA (%)",536,6.1
INMET,CABROBO,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",0,0.0
INMET,CABROBO,"VENTO, RAJADA MAXIMA (m/s)",0,0.0
INMET,CABROBO,"VENTO, VELOCIDADE HORARIA (m/s)",0,0.0
INMET,CARUARU,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",5206,59.27
INMET,CARUARU,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",671,7.64
INMET,CARUARU,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),701,7.98
INMET,CARUARU,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),701,7.98
INMET,CARUARU,RADIACAO GLOBAL (Kj/m²),3777,43.0
INMET,CARUARU,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",559,6.36
INMET,CARUARU,TEMPERATURA DO PONTO DE ORVALHO (°C),559,6.36
INMET,CARUARU,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),569,6.48
INMET,CARUARU,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),569,6.48
INMET,CARUARU,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),569,6.48
INMET,CARUARU,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),569,6.48
INMET,CARUARU,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),569,6.48
INMET,CARUARU,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),569,6.48
INMET,CARUARU,"UMIDADE RELATIVA DO AR, HORARIA (%)",559,6.36
INMET,CARUARU,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",560,6.38
INMET,CARUARU,"VENTO, RAJADA MAXIMA (m/s)",572,6.51
INMET,CARUARU,"VENTO, VELOCIDADE HORARIA (m/s)",560,6.38
INMET,IBIMIRIM,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",5022,57.17
INMET,IBIMIRIM,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",5022,57.17
INMET,IBIMIRIM,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),5023,57.18
INMET,IBIMIRIM,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),5023,57.18
INMET,IBIMIRIM,RADIACAO GLOBAL (Kj/m²),6723,76.54
INMET,IBIMIRIM,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",5022,57.17
INMET,IBIMIRIM,TEMPERATURA DO PONTO DE ORVALHO (°C),8784,100.0
INMET,IBIMIRIM,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),5023,57.18
INMET,IBIMIRIM,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),5023,57.18
INMET,IBIMIRIM,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),8784,100.0
INMET,IBIMIRIM,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),8784,100.0
INMET,IBIMIRIM,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),8784,100.0
INMET,IBIMIRIM,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),8784,100.0
INMET,IBIMIRIM,"UMIDADE RELATIVA DO AR, HORARIA (%)",8784,100.0
INMET,IBIMIRIM,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",5022,57.17
INMET,IBIMIRIM,"VENTO, RAJADA MAXIMA (m/s)",5023,57.18
INMET,IBIMIRIM,"VENTO, VELOCIDADE HORARIA (m/s)",5022,57.17
INMET,SERRA TALHADA,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",2642,30.08
INMET,SERRA TALHADA,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",2642,30.08
INMET,SERRA TALHADA,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),2642,30.08
INMET,SERRA TALHADA,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),2642,30.08
INMET,SERRA TALHADA,RADIACAO GLOBAL (Kj/m²),5181,58.98
INMET,SERRA TALHADA,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",2642,30.08
INMET,SERRA TALHADA,TEMPERATURA DO PONTO DE ORVALHO (°C),2642,30.08
INMET,SERRA TALHADA,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),2642,30.08
INMET,SERRA TALHADA,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),2642,30.08
INMET,SERRA TALHADA,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),2642,30.08
INMET,SERRA TALHADA,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),2643,30.09
INMET,SERRA TALHADA,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),2642,30.08
INMET,SERRA TALHADA,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),2643,30.09
INMET,SERRA TALHADA,"UMIDADE RELATIVA DO AR, HORARIA (%)",2642,30.08
INMET,SERRA TALHADA,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",2642,30.08
INMET,SERRA TALHADA,"VENTO, RAJADA MAXIMA (m/s)",2642,30.08
INMET,SERRA TALHADA,"VENTO, VELOCIDADE HORARIA (m/s)",2642,30.08
INMET,FLORESTA,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",97,1.1
INMET,FLORESTA,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",95,1.08
INMET,FLORESTA,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),95,1.08
INMET,FLORESTA,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),95,1.08
INMET,FLORESTA,RADIACAO GLOBAL (Kj/m²),3909,44.5
INMET,FLORESTA,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",95,1.08
INMET,FLORESTA,TEMPERATURA DO PONTO DE ORVALHO (°C),95,1.08
INMET,FLORESTA,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),95,1.08
INMET,FLORESTA,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),95,1.08
INMET,FLORESTA,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),95,1.08
INMET,FLORESTA,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),95,1.08
INMET,FLORESTA,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),95,1.08
INMET,FLORESTA,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),95,1.08
INMET,FLORESTA,"UMIDADE RELATIVA DO AR, HORARIA (%)",95,1.08
INMET,FLORESTA,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",95,1.08
INMET,FLORESTA,"VENTO, RAJADA MAXIMA (m/s)",102,1.16
INMET,FLORESTA,"VENTO, VELOCIDADE HORARIA (m/s)",95,1.08
INMET,PALMARES,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",3504,39.89
INMET,PALMARES,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",0,0.0
INMET,PALMARES,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),0,0.0
INMET,PALMARES,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),0,0.0
INMET,PALMARES,RADIACAO GLOBAL (Kj/m²),3970,45.2
INMET,PALMARES,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",1,0.01
INMET,PALMARES,TEMPERATURA DO PONTO DE ORVALHO (°C),1,0.01
INMET,PALMARES,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),1,0.01
INMET,PALMARES,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),1,0.01
INMET,PALMARES,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),1,0.01
INMET,PALMARES,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),1,0.01
INMET,PALMARES,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),0,0.0
INMET,PALMARES,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),0,0.0
INMET,PALMARES,"UMIDADE RELATIVA DO AR, HORARIA (%)",0,0.0
INMET,PALMARES,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",0,0.0
INMET,PALMARES,"VENTO, RAJADA MAXIMA (m/s)",0,0.0
INMET,PALMARES,"VENTO, VELOCIDADE HORARIA (m/s)",0,0.0
INMET,OURICURI,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",1417,16.13
INMET,OURICURI,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",1421,16.18
INMET,OURICURI,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),1484,16.89
INMET,OURICURI,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),1484,16.89
INMET,OURICURI,RADIACAO GLOBAL (Kj/m²),4435,50.49
INMET,OURICURI,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",1421,16.18
INMET,OURICURI,TEMPERATURA DO PONTO DE ORVALHO (°C),1759,20.03
INMET,OURICURI,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),1484,16.89
INMET,OURICURI,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),1484,16.89
INMET,OURICURI,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),1865,21.23
INMET,OURICURI,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),1865,21.23
INMET,OURICURI,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),1860,21.17
INMET,OURICURI,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),1860,21.17
INMET,OURICURI,"UMIDADE RELATIVA DO AR, HORARIA (%)",1759,20.03
INMET,OURICURI,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",1436,16.35
INMET,OURICURI,"VENTO, RAJADA MAXIMA (m/s)",1505,17.13
INMET,OURICURI,"VENTO, VELOCIDADE HORARIA (m/s)",1436,16.35
INMET,SALGUEIRO,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",368,4.19
INMET,SALGUEIRO,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",366,4.17
INMET,SALGUEIRO,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),366,4.17
INMET,SALGUEIRO,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),366,4.17
INMET,SALGUEIRO,RADIACAO GLOBAL (Kj/m²),4022,45.79
INMET,SALGUEIRO,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",363,4.13
INMET,SALGUEIRO,TEMPERATURA DO PONTO DE ORVALHO (°C),363,4.13
INMET,SALGUEIRO,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),363,4.13
INMET,SALGUEIRO,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),363,4.13
INMET,SALGUEIRO,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),365,4.16
INMET,SALGUEIRO,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),365,4.16
INMET,SALGUEIRO,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),363,4.13
INMET,SALGUEIRO,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),363,4.13
INMET,SALGUEIRO,"UMIDADE RELATIVA DO AR, HORARIA (%)",363,4.13
INMET,SALGUEIRO,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",366,4.17
INMET,SALGUEIRO,"VENTO, RAJADA MAXIMA (m/s)",367,4.18
INMET,SALGUEIRO,"VENTO, VELOCIDADE HORARIA (m/s)",366,4.17
