fonte,estacao,coluna
INMET,CABROBO,RADIACAO GLOBAL (Kj/m²)
INMET,CABROBO,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,CABROBO,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,CABROBO,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,CABROBO,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
INMET,CABROBO,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)
INMET,CABROBO,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)
INMET,CABROBO,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
INMET,CABROBO,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
INMET,CABROBO,"UMIDADE RELATIVA DO AR, HORARIA (%)"
INMET,CABROBO,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))"
INMET,CABROBO,"VENTO, RAJADA MAXIMA (m/s)"
INMET,CABROBO,"VENTO, VELOCIDADE HORARIA (m/s)"
INMET,CARUARU,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)"
INMET,CARUARU,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)"
INMET,CARUARU,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)
INMET,CARUARU,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
INMET,CARUARU,RADIACAO GLOBAL (Kj/m²)
INMET,CARUARU,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,CARUARU,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,CARUARU,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,CARUARU,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
INMET,CARUARU,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)
INMET,CARUARU,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)
INMET,CARUARU,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
INMET,CARUARU,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
INMET,CARUARU,"UMIDADE RELATIVA DO AR, HORARIA (%)"
INMET,CARUARU,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))"
INMET,CARUARU,"VENTO, RAJADA MAXIMA (m/s)"
INMET,CARUARU,"VENTO, VELOCIDADE HORARIA (m/s)"
INMET,IBIMIRIM,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)"
INMET,IBIMIRIM,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)"
INMET,IBIMIRIM,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)
INMET,IBIMIRIM,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
INMET,IBIMIRIM,RADIACAO GLOBAL (Kj/m²)
INMET,IBIMIRIM,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,IBIMIRIM,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,IBIMIRIM,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,IBIMIRIM,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
INMET,IBIMIRIM,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)
INMET,IBIMIRIM,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)
INMET,IBIMIRIM,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
INMET,IBIMIRIM,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
INMET,IBIMIRIM,"UMIDADE RELATIVA DO AR, HORARIA (%)"
INMET,IBIMIRIM,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))"
INMET,IBIMIRIM,"VENTO, RAJADA MAXIMA (m/s)"
INMET,IBIMIRIM,"VENTO, VELOCIDADE HORARIA (m/s)"
INMET,SERRA TALHADA,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)"
INMET,SERRA TALHADA,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)"
INMET,SERRA TALHADA,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)
INMET,SERRA TALHADA,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
INMET,SERRA TALHADA,RADIACAO GLOBAL (Kj/m²)
INMET,SERRA TALHADA,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,SERRA TALHADA,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,SERRA TALHADA,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,SERRA TALHADA,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
INMET,SERRA TALHADA,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)
INMET,SERRA TALHADA,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)
INMET,SERRA TALHADA,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
INMET,SERRA TALHADA,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
INMET,SERRA TALHADA,"UMIDADE RELATIVA DO AR, HORARIA (%)"
INMET,SERRA TALHADA,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))"
INMET,SERRA TALHADA,"VENTO, RAJADA MAXIMA (m/s)"
INMET,SERRA TALHADA,"VENTO, VELOCIDADE HORARIA (m/s)"
INMET,FLORESTA,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)"
INMET,FLORESTA,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)"
INMET,FLORESTA,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)
INMET,FLORESTA,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
INMET,FLORESTA,RADIACAO GLOBAL (Kj/m²)
INMET,FLORESTA,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,FLORESTA,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,FLORESTA,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,FLORESTA,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
INMET,FLORESTA,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)
INMET,FLORESTA,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)
INMET,FLORESTA,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
INMET,FLORESTA,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
INMET,FLORESTA,"UMIDADE RELATIVA DO AR, HORARIA (%)"
INMET,FLORESTA,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))"
INMET,FLORESTA,"VENTO, RAJADA MAXIMA (m/s)"
INMET,FLORESTA,"VENTO, VELOCIDADE HORARIA (m/s)"
INMET,PALMARES,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)"
INMET,PALMARES,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)"
INMET,PALMARES,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)
INMET,PALMARES,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
INMET,PALMARES,RADIACAO GLOBAL (Kj/m²)
INMET,PALMARES,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,PALMARES,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,PALMARES,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,PALMARES,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
INMET,PALMARES,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)
INMET,PALMARES,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)
INMET,PALMARES,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
INMET,PALMARES,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
INMET,PALMARES,"UMIDADE RELATIVA DO AR, HORARIA (%)"
INMET,PALMARES,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))"
INMET,PALMARES,"VENTO, RAJADA MAXIMA (m/s)"
INMET,PALMARES,"VENTO, VELOCIDADE HORARIA (m/s)"
INMET,OURICURI,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)"
INMET,OURICURI,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)"
INMET,OURICURI,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)
INMET,OURICURI,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
INMET,OURICURI,RADIACAO GLOBAL (Kj/m²)
INMET,OURICURI,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,OURICURI,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,OURICURI,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,OURICURI,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
INMET,OURICURI,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)
INMET,OURICURI,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)
INMET,OURICURI,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
INMET,OURICURI,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
INMET,OURICURI,"UMIDADE RELATIVA DO AR, HORARIA (%)"
INMET,OURICURI,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))"
INMET,OURICURI,"VENTO, RAJADA MAXIMA (m/s)"
INMET,OURICURI,"VENTO, VELOCIDADE HORARIA (m/s)"
INMET,SALGUEIRO,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)"
INMET,SALGUEIRO,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)"
INMET,SALGUEIRO,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)
INMET,SALGUEIRO,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
INMET,SALGUEIRO,RADIACAO GLOBAL (Kj/m²)
