fonte,run_id,id,nome,latitude,longitude,precipitacao_24h_mm
APAC,20260819T213416Z,1244,Bezerros - Centro*,-8.228000000000000,-35.751000000000000,0.0
APAC,20260819T213416Z,1241,Barra de Guabiraba - Centro*,-8.418000000000000,-35.664000000000000,0.0
APAC,20260819T213416Z,1252,Ipojuca - Centro*,-8.400000000000000,-35.064000000000000,0.0
APAC,20260819T213416Z,1240,águas belas - Centro*,-9.116000000000000,-37.118000000000000,0.0
APAC,20260819T213416Z,1255,Primavera - Centro*,-8.331000000000000,-35.352000000000000,0.0
APAC,20260819T213416Z,1256,Quipapá - Centro*,-8.830000000000000,-36.013000000000000,0.2
APAC,20260819T213416Z,1279,Sanharó - Centro*,-8.359000000000000,-36.564000000000000,0.0
APAC,20260819T213416Z,1273,Xexéu - Centro*,-8.805000000000000,-35.627000000000000,2.96
APAC,20260819T213416Z,1291,Floresta - Centro*,-8.598000000000000,-38.581000000000000,0.0
APAC,20260819T213416Z,1269,Vicência - Centro*,-7.656000000000000,-35.319000000000000,0.0
APAC,20260819T213416Z,1293,Lajedo - Centro*,-8.660270000000000,-36.322320000000000,0.0
APAC,20260819T213416Z,1294,Chã Grande - Centro*,-8.244450000000000,-35.459560000000000,0.0
APAC,20260819T213416Z,1296,Tacaimbó - Centro*,-8.321820000000000,-36.290680000000000,0.0
APAC,20260819T213416Z,1268,Sirinhaém - Centro*,-8.592000000000000,-35.116000000000000,0.0
APAC,20260819T213416Z,1225,Ipubi - Centro*,-7.651000000000000,-40.147000000000000,0.2
APAC,20260819T213416Z,1278,Poção - Centro*,-8.185000000000000,-36.707000000000000,0.0
APAC,20260819T213416Z,1228,Jaboatão dos Guararapes - Centro*,-8.112000000000000,-35.015000000000000,0.0
APAC,20260819T213416Z,1217,São Benedito do Sul - Centro*,-8.812000000000000,-35.932000000000000,0.59
APAC,20260819T213416Z,1206,Orocó - Centro*,-8.619000000000000,-39.602000000000000,0.0
APAC,20260819T213416Z,1221,Cachoeirinha - Centro*,-8.484000000000000,-36.238000000000000,0.0
APAC,20260819T213416Z,1187,Caruaru - Centro*,-8.285000000000000,-35.976000000000000,0.0
APAC,20260819T213416Z,1215,Rio Formoso - Centro*,-8.507000000000000,-35.385000000000000,12.84
APAC,20260819T213416Z,1200,Nazaré da Mata - Centro*,-7.740000000000000,-35.226000000000000,0.0
APAC,20260819T213416Z,1193,Catende - Centro*,-8.669000000000000,-35.720000000000000,0.0
APAC,20260819T213416Z,1232,Joaquim Nabuco - Centro*,-8.626000000000000,-35.526000000000000,0.0
