codigo_bairro,nome_bairro,casos_total,area_km2,semanas_com_caso,fonte_clima,distancia_estacao_km
884,COHAB,8836,4.354247490778002,1038,CEMADEN,0.408
230,IBURA,8408,10.187462794025633,1077,CEMADEN,2.014
736,VARZEA,6334,22.391160101845337,889,CEMADEN,1.432
337,AGUA FRIA,5667,1.9289146635900334,934,CEMADEN,1.759
698,IPUTINGA,5409,4.361473956710505,914,CEMADEN,1.691
264,IMBIRIBEIRA,5241,6.662202512913267,893,CEMADEN,1.759
205,BOA VIAGEM,5196,8.338924611096175,944,CEMADEN,1.448
566,NOVA DESCOBERTA,5077,1.8254774509256122,949,CEMADEN,1.007
280,CAMPO GRANDE,4184,2.210588664690016,804,CEMADEN,0.836
779,AFOGADOS,4163,3.3854663887213614,843,CEMADEN,1.574
558,VASCO DA GAMA,3941,1.6065921799565013,837,CEMADEN,0.91
396,DOIS UNIDOS,3829,3.1188397748401995,809,CEMADEN,0.836
108,SANTO AMARO,3498,3.7463437928382466,806,CEMADEN,0.984
434,CASA AMARELA,3461,1.885016413826774,846,CEMADEN,0.822
850,AREIAS,3319,2.4169679965072226,840,CEMADEN,0.819
680,CORDEIRO,3178,3.39444088697853,740,CEMADEN,2.539
868,JARDIM SAO PAULO,3132,2.5811501468639717,776,CEMADEN,2.324
701,TORROES,2966,1.6516156953565826,653,CEMADEN,1.797
310,CAMPINA DO BARRETO,2705,0.538722730050835,665,CEMADEN,0.481
248,PINA,2675,6.632740722172014,684,CEMADEN,0.953
221,JORDAO,2557,1.562008982370188,732,CEMADEN,2.525
213,IPSEP,2287,1.769757422741145,651,CEMADEN,1.186
582,MACAXEIRA,2275,1.247387695466199,688,CEMADEN,1.401
329,ARRUDA,2188,1.0036868644878223,650,CEMADEN,1.532
817,SAN MARTIN,2133,2.0030597566721844,634,CEMADEN,0.608
388,LINHA DO TIRO,2006,0.8201998251114203,587,CEMADEN,1.549
540,ALTO JOSE BONIFACIO,1968,0.5693709513098074,616,CEMADEN,0.666
647,MADALENA,1922,1.803674559615352,563,CEMADEN,2.772
400,PASSARINHO,1865,3.926297833291457,638,CEMADEN,1.06
43,ILHA JOANA BEZERRA,1725,1.1639656330895876,543,CEMADEN,2.876
426,BOMBA DO HEMETERIO,1627,0.43413575517153635,518,CEMADEN,1.472
523,ALTO JOSE DO PINHO,1574,0.4217114904500095,591,CEMADEN,0.807
531,MORRO DA CONCEICAO,1471,0.3808326402611846,548,CEMADEN,0.109
256,BRASILIA TEIMOSA,1467,1.4667660076691778,500,CEMADEN,2.334
876,BARRO,1456,4.416325189910759,505,CEMADEN,2.516
655,TORRE,1387,1.1892786081725895,513,CEMADEN,2.782
370,BEBERIBE,1345,0.48984327417131607,496,CEMADEN,1.906
86,BOA VISTA,1212,1.7046165710373307,509,CEMADEN,2.39
418,GUABIRABA,1205,46.063553424476765,508,CEMADEN,4.386
833,ESTANCIA,1167,0.7977486322976775,463,CEMADEN,1.383
787,MUSTARDINHA,1160,0.6314009146733046,425,CEMADEN,0.638
612,BREJO DA GUABIRABA,1122,0.7242191556796038,475,CEMADEN,0.359
710,ENGENHO DO MEIO,1107,0.8670897193334623,370,CEMADEN,2.693
744,CAXANGA,1091,2.463708848465885,385,CEMADEN,1.104
620,CORREGO DO JENIPAPO,1089,0.5702819922623847,344,CEMADEN,0.95
353,CAJUEIRO,1029,0.572914058002871,412,CEMADEN,0.507
35,SAO JOSE,1021,2.4864301323277926,435,CEMADEN,2.595
191,TAMARINEIRA,1012,1.012834614547217,446,CEMADEN,1.884
663,PRADO,1005,1.2815102906228188,373,CEMADEN,1.691
60,COELHOS,978,0.4213205928073227,374,CEMADEN,2.387
795,MANGUEIRA,970,0.30929175741493475,422,CEMADEN,0.626
345,FUNDAO,966,0.6245108619417746,371,CEMADEN,1.129
493,ALTO DO MANDU,895,0.2517275364751876,342,CEMADEN,0.253
175,ENCRUZILHADA,854,1.0160918930505163,403,CEMADEN,0.774
809,BONGI,852,0.6028769865684435,384,CEMADEN,1.053
671,ZUMBI,809,0.40560449786822617,240,CEMADEN,2.376
361,PORTO DA MADEIRA,775,0.4781297892477088,354,CEMADEN,1.177
825,JIQUIA,771,1.7056963986522282,402,CEMADEN,1.279
892,TEJIPIO,770,0.9844543264401893,412,CEMADEN,3.444
574,BREJO DE BEBERIBE,748,0.6434959242289622,378,CEMADEN,0.584
922,COQUEIRAL,717,0.5385512726741247,372,CEMADEN,4.125
515,MANGABEIRA,690,0.2860379216131778,354,CEMADEN,1.47
949,ALTO SANTA TEREZINHA,685,0.3062484853361422,355,CEMADEN,0.841
590,DOIS IRMAOS,683,5.636068160103584,291,CEMADEN,1.329
752,CURADO,646,8.255773759801368,361,CEMADEN,3.762
167,GRACAS,634,1.4422597762823628,341,CEMADEN,2.015
604,SITIO DOS PINTOS,621,2.077885849727256,245,CEMADEN,1.408
124,ESPINHEIRO,525,0.7605258217714523,314,CEMADEN,1.108
841,CACOTE,486,0.46227611912275834,254,CEMADEN,0.286
442,CASA FORTE,473,0.5593280362922635,266,CEMADEN,1.431
299,PEIXINHOS,454,0.33900981801691193,194,CEMADEN,0.816
906,SANCHO,432,0.6324592448957961,268,CEMADEN,4.071
183,ROSARINHO,422,0.2552008830851365,220,CEMADEN,1.552
914,TOTO,333,0.13901384514100182,212,CEMADEN,4.632
760,ILHA DO RETIRO,316,0.5282142164277375,189,CEMADEN,2.437
507,APIPUCOS,312,1.2652521298968828,186,CEMADEN,1.07
19,RECIFE,311,3.140027473516162,163,CEMADEN,0.534
485,MONTEIRO,300,0.5431983003390707,143,CEMADEN,0.352
469,PARNAMIRIM,282,0.6139113152628944,186,CEMADEN,1.733
930,PONTO DE PARADA,263,0.1852259975593039,111,CEMADEN,1.264
477,POCO,253,0.7856147155392319,151,CEMADEN,1.342
132,AFLITOS,192,0.3074611691769709,150,CEMADEN,1.406
450,SANTANA,183,0.46979287697428185,111,CEMADEN,2.204
51,CABANGA,180,0.7991872368726669,121,CEMADEN,2.247
302,HIPODROMO,177,0.3047162559568804,132,CEMADEN,0.697
728,CIDADE UNIVERSITARIA,156,1.5987217742882767,101,CEMADEN,3.582
27,SANTO ANTONIO,135,0.8382339434696664,100,CEMADEN,1.202
140,DERBY,106,0.48261914803185335,80,CEMADEN,2.746
116,SOLEDADE,104,0.32241593020290077,93,CEMADEN,1.909
272,TORREAO,98,0.19597150707942654,69,CEMADEN,0.374
78,ILHA DO LEITE,95,0.2574562903562876,83,CEMADEN,2.66
94,PAISSANDU,80,0.37193545639778686,74,CEMADEN,2.985
159,JAQUEIRA,79,0.2445277499968713,66,CEMADEN,2.303
639,PAU FERRO,1,0.6007753556545221,1,CEMADEN,3.636
