codigo_estacao,nome_estacao,fonte,latitude,longitude,codigo_bairro,nome_bairro
1293,LAJEDO - CENTRO*,APAC,-8.66027,-36.32232,,
1294,CHÃ GRANDE - CENTRO*,APAC,-8.24445,-35.45956,,
1296,TACAIMBÓ - CENTRO*,APAC,-8.32182,-36.29068,,
1268,SIRINHAÉM - CENTRO*,APAC,-8.592,-35.116,,
1225,IPUBI - CENTRO*,APAC,-7.651,-40.147,,
1278,POÇÃO - CENTRO*,APAC,-8.185,-36.707,,
1228,JABOATÃO DOS GUARARAPES - CENTRO*,APAC,-8.112,-35.015,,
1217,SÃO BENEDITO DO SUL - CENTRO*,APAC,-8.812,-35.932,,
1206,OROCÓ - CENTRO*,APAC,-8.619,-39.602,,
1221,CACHOEIRINHA - CENTRO*,APAC,-8.484,-36.238,,
1187,CARUARU - CENTRO*,APAC,-8.285,-35.976,,
1215,RIO FORMOSO - CENTRO*,APAC,-8.507,-35.385,,
1200,NAZARÉ DA MATA - CENTRO*,APAC,-7.74,-35.226,,
1193,CATENDE - CENTRO*,APAC,-8.669,-35.72,,
1232,JOAQUIM NABUCO - CENTRO*,APAC,-8.626,-35.526,,
1234,MARAIAL - CENTRO*,APAC,-8.783,-35.811,,
1198,MORENO - CENTRO*,APAC,-8.118,-35.101,,
1195,CORRENTES - CENTRO*,APAC,-9.128,-36.329,,
1387,CHÃ DE ALEGRIA - CHÃ DE ALEGRIA - APAC [COMPESA],APAC,-7.99754,-35.21584,,
1245,CABO DE SANTO AGOSTINHO - CHARNECA*,APAC,-8.297,-35.057,,
1188,CARUARU - CIDADE JARDIM*,APAC,-8.277,-35.949,,
1380,IGARASSU - CIPOMA - APAC,APAC,-7.87247,-34.91201,,
1486,IGUARACI - COMPESA - APAC,APAC,-7.83732,-37.51445,,
1494,MOREILÂNDIA - COMPESA - APAC,APAC,-7.6275,-39.55122,,
1490,IPUBI - COMPESA - APAC,APAC,-7.65828,-40.15728,,
1451,CASINHAS - COMPESA - APAC,APAC,-7.74606,-35.72544,,
1419,CORTÊS - COMPESA - APAC,APAC,-8.47064,-35.5445,,
1453,SANTA CRUZ DO CAPIBARIBE - COMPESA - APAC,APAC,-7.95798,-36.21818,,
1487,BREJINHO - COMPESA - APAC,APAC,-7.34566,-37.2897,,
1481,CALUMBI - COMPESA - APAC,APAC,-7.93881,-38.15294,,
1424,SÃO JOAQUIM DO MONTE - COMPESA - APAC,APAC,-8.43273,-35.80494,,
1418,SÃO BENEDITO DO SUL - COMPESA - APAC,APAC,-8.80252,-35.93886,,
1436,MACHADOS - COMPESA - APAC,APAC,-7.68894,-35.50866,,
1412,BUENOS AIRES - COMPESA - APAC,APAC,-7.72334,-35.32334,,
1433,SÃO CAETANO - COMPESA - APAC,APAC,-8.33611,-36.12556,,
1425,SANHARÓ - COMPESA - APAC,APAC,-8.35653,-36.55844,,
1416,SIRINHAÉM - COMPESA - APAC,APAC,-8.59457,-35.10997,,
1417,PRIMAVERA - COMPESA - APAC,APAC,-8.3275,-35.34983,,
1430,CALÇADO - COMPESA - APAC,APAC,-8.7375,-36.33789,,
1432,CACHOEIRINHA - COMPESA - APAC,APAC,-8.49245,-36.23812,,
1468,PALMERINA - COMPESA - APAC,APAC,-9.00028,-36.33472,,
1466,BONITO - COMPESA - APAC,APAC,-8.47856,-35.72353,,
1405,MACAPARANA - COMPESA - APAC,APAC,-7.5581,-35.45261,,
1434,LAGOAS DOS GATOS - COMPESA - APAC,APAC,-8.663,-35.9046,,
1396,NAZARÉ DA MATA - COMPESA - APAC,APAC,-7.73062,-35.23258,,
1470,ALTINHO - COMPESA - APAC,APAC,-8.49,-36.05833,,
1476,CUSTÓDIA - COMPESA - APAC,APAC,-8.08651,-37.63223,,
1471,POÇÃO - COMPESA - APAC,APAC,-8.18556,-36.70778,,
1395,LAGOA DO CARRO - COMPESA - APAC,APAC,-7.84385,-35.30058,,
1479,ITAPETIM - COMPESA - APAC,APAC,-7.37536,-37.19018,,
1482,AFOGADOS DA INGAZEIRA - COMPESA - APAC,APAC,-7.74295,-37.62516,,
1467,BOM JARDIM - COMPESA - APAC,APAC,-7.791,-35.59589,,
1463,PAUDALHO - COMPESA - APAC,APAC,-7.88179,-35.17869,,
1454,ANGELIM - COMPESA - APAC,APAC,-8.88806,-36.28639,,
1455,TORITAMA - COMPESA - APAC,APAC,-8.00893,-36.06317,,
1457,PEDRA - COMPESA - APAC,APAC,-8.5,-36.94083,,
1484,TRIUNFO - COMPESA - APAC,APAC,-7.83051,-38.1056,,
1461,JUPI - COMPESA - APAC,APAC,-8.7103,-36.3956,,
1465,CUMARU - COMPESA - APAC,APAC,-8.00638,-35.70908,,
1381,SÃO LOURENÇO DA MATA - CORPO DE BOMBEIROS - APAC,APAC,-7.99419,-35.03699,,
1196,NOVA CORTÊS - CORTÊS [NOVA CORTÊS],APAC,-8.47,-35.544,,
1251,IGARASSU - CRUZ DE REBOUÇAS 2*,APAC,-7.871,-34.862,,
1299,IGARASSU - CRUZ DE REBOUÇAS*,APAC,-7.874,-34.916,,
1258,QUIPAPÁ - CRUZEIRO DO CONGO*,APAC,-8.804,-36.093,,
1409,CATENDE - CTC - APAC,APAC,-8.67224,-35.7187,,
1216,RIO FORMOSO - CUCAÚ*,APAC,-8.507,-35.385,,
1229,JABOATÃO DOS GUARARAPES - CURADO II*,APAC,-8.08,-34.997,,
1199,NAZARÉ DA MATA - ENGENHO COQUEIRO*,APAC,-7.733,-35.264,,
1406,TIMBAÚBA - ENGENHO SALGADO - APAC,APAC,-7.44549,-35.24407,,
1247,CABO DE SANTO AGOSTINHO - ENSEADA DOS CORAIS*,APAC,-8.33,-34.956,,
1510,ESCADA - ESCADA - APAC,APAC,-8.355833,-35.234167,,
1474,JOAQUIM NABUCO - ESCOLA EDUARDO CAMPOS - APAC,APAC,-8.63233,-35.5341,,
1428,PANELAS - ESCOLA MUNICIPAL - APAC,APAC,-8.6614,-36.0159,,
1289,GOIANA - ESTÁDIO MUNICIPAL AGAMENON MAGALHÃES*,APAC,-7.563,-35.004,,
1586,EXU - EXU [ESCOLA BÃ¡RBARA DE ALENCAR] - APAC,APAC,-7.51339,-39.71848,,
1469,SÃO JOSÉ DA COROA GRANDE - FAZ. BOCA DO RIO - APAC,APAC,-8.91115,-35.16479,,
1201,NAZARÉ DA MATA - FAZENDA SERTÃOZINHO*,APAC,-7.799,-35.263,,
1477,SÍTIO DOS NUNES - FLORES [SÍTIO DOS NUNES]-APAC,APAC,-8.04636,-37.83292,,
1458,PARANATAMA - FONTE CRISTAL PLUS - APAC,APAC,-8.9226,-36.66143,,
1571,[EREN SÃO JOSÉ] - APAC - FREI MIGUELINHO,APAC,-7.94222,-35.92465,,
1473,ITAÍBA - GARAGEM MUNICIPAL - APAC,APAC,-8.94037,-37.41153,,
1584,GARANHUNS - GARANHUNS [UFRPE] - APAC,APAC,-8.91095,-36.49357,,
1239,ÁGUAS BELAS - GARANHUNS*,APAC,-9.128,-37.037,,
1290,PETROLINA - GERCINO COELHO*,APAC,-9.39241,-40.50827,,
1507,ARARIPINA - GERGILIN - APAC,APAC,-7.808306,-40.4875,,
1383,ITAMBÉ - GINÁSIO MUNICIPAL - APAC,APAC,-7.40623,-35.11303,,
1185,CARUARU - GONÇALVES FERREIRA*,APAC,-8.258,-35.884,,
1587,GRANITO - GRANITO [HOSPITAL] - APAC,APAC,-7.71363,-39.61518,,
1388,PAUDALHO - GUADALAJARA - APAC,APAC,-7.95518,-35.10672,,
1509,TERRA NOVA - GUARANI - APAC,APAC,-8.079528,-39.393917,,
1397,ALIANÇA - HORTA COMUNITÁRIA - APAC,APAC,-7.60903,-35.23467,,
1242,BARREIROS - HOSPITAL MUNICIPAL,APAC,-8.807,-35.186,,
1399,BARREIROS - HOSPITAL MUNICIPAL - APAC,APAC,-8.80644,-35.18614,,
1411,JAQUEIRA - HOSPITAL MUNICIPAL - APAC,APAC,-8.73206,-35.80392,,
1505,IATI - IATI - APAC,APAC,-9.051381,-36.857439,,
1582,CHACARA - IBIRAJUBA [CHACARA] - APAC,APAC,-8.57216,-36.16679,,
1565,INAJÃ - INAJÃ¡ [ESTÃ¡DIO MUNICIPAL] - APAC,APAC,-8.90441,-37.82829,,
1588,INGAZEIRA - INGAZEIRA [COMPESA] - APAC,APAC,-7.67884,-37.45995,,
1438,SÃO VICENTE FERRER - IPA - APAC,APAC,-7.59083,-35.48978,,
1496,SERRITA - IPUEIRA - APAC,APAC,-7.84614,-39.45961,,
1503,ITACURUBA - ITACURUBA - APAC,APAC,-8.726222,-38.689917,,
1385,USINA MAÇARI - APAC - ITAQUITINGA,APAC,-7.66667,-35.12306,,
1581,OURICURI - JACARÃ‰ - APAC,APAC,-8.076111,-40.216417,,
1197,ESCADA - JAGUARIBE*,APAC,-8.369,-35.241,,
1212,PAULISTA - JANGA (COSTA AZUL)*,APAC,-7.954,-34.83,,
1211,PAULISTA - JANGA (PONTE)*,APAC,-7.918,-34.829,,
1208,PALMARES - JAPARANDUBA*,APAC,-8.691,-35.604,,
1280,JAQUEIRA - JAQUEIRA*,APAC,-8.7328,-35.7973,,
1231,JAQUEIRA - JAQUEIRA*,APAC,-8.731,-35.804,,
1204,OLINDA - JARDIM FRAGOSO*,APAC,-7.984,-34.853,,
1223,CAMARAGIBE - JARDIM PRIMAVERA*,APAC,-8.012,-34.969,,
1295,PETROLINA - JARDIM SÃO PAULO*,APAC,-9.3609,-40.54031,,
1576,JATAÃŠBA - JATAÃºBA [CENTRO] - APAC,APAC,-7.98526,-36.50162,,
1483,SANTA CRUZ DA BAIXA VERDE - JATIUCA - APAC,APAC,-7.88839,-38.197,,
1568,JATOBÁ - JATOBÁ - APAC,APAC,-9.17572,-38.25769,,
1301,PETROLINA - JOSÉ E MARIA*,APAC,-9.37014,-40.49244,,
1518,JUCATI - JUCATI - APAC,APAC,-8.698208,-36.467869,,
1283,JUREMA - JUREMA*,APAC,-8.72,-36.143,,
1233,LAGOA GRANDE - JUTAÍ*,APAC,-8.635,-40.239,,
1249,IBIMIRIM - LAGES*,APAC,-8.533,-37.697,,
1462,LAGOA DO OURO - LAGOA DO OURO - APAC,APAC,-9.12055,-36.46239,,
1593,LAGOA GRANDE - LAGOA GRANDE [ANTENA OI] - APAC,APAC,-8.99709,-40.27058,,
1497,DORMENTES - LAGOAS - APAC,APAC,-8.512667,-40.416528,,
1194,CATENDE - LAJE GRANDE*,APAC,-8.598,-35.766,,
1272,VITÓRIA DE SANTO ANTÃO - LIVRAMENTO*,APAC,-8.121,-35.298,,
1516,MARAIAL - MARAIAL - APAC,APAC,-8.782778,-35.816278,,
1210,PAULISTA - MARIA FARINHA*,APAC,-7.853,-34.836,,
1491,PARNAMIRIM - MATIAS - APAC,APAC,-8.17531,-40.0525,,
1475,SERTÂNIA - MODERNA - APAC,APAC,-8.42957,-37.40961,,
1175,JABOATÃO DOS GUARARAPES - MURIBECA*,APAC,-8.157,-34.968,,
1500,FLORESTA - NAZARE DO PICO - APAC,APAC,-8.320957,-38.411878,,
1386,GLÓRIA DO GOITÁ - NISSAN MIOJO - APAC,APAC,-8.00105,-35.28466,,
1266,SÃO LOURENÇO DA MATA - NOSSA SENHORA DA LUZ*,APAC,-8.037,-35.1,,
1495,CABROBÓ - NOVO MURICI - APAC,APAC,-8.34033,-39.13519,,
1378,IPOJUCA - NÚCLEO MARANHÃO - APAC,APAC,-8.3682,-35.13522,,
1574,OROBÃ“ - OROBÃ³ [SECRETÃ¡RIA DE AGRICULTURA] - APAC,APAC,-7.73773,-35.60724,,
1526,OROCÃ“ - OROCO - APAC,APAC,-8.617361,-39.603833,,
1464,PASSIRA - PASSIRA [COMPESA],APAC,-7.97588,-35.58819,,
1209,VILA TORRES GALVÃO - PAULISTA,APAC,-7.958,-34.876,,
1184,PAULISTA - PAULISTA [CENTRO],APAC,-16.29015,-63.58865,,
1564,PETROLÃ‚NDIA - PETROLÃ¢NDIA [PREFEITURA] - APAC,APAC,-8.9801,-38.21851,,
1227,JABOATÃO DOS GUARARAPES - PIEDADE*,APAC,-8.154,-34.914,,
1592,SANTA CRUZ - POÃ‡O DANTAS - APAC,APAC,-8.38925,-40.210667,,
1437,LIMOEIRO - POLÍCIA CÍVIL - APAC,APAC,-7.86623,-35.43469,,
1472,BUÍQUE - POLÍCIA MILITAR - APAC,APAC,-8.615,-37.15472,,
1297,VILA SÃO JOSÉ - APAC* - POMBOS,APAC,-8.13689,-35.39963,,
1391,GOIANA - PONTA DE PEDRA - APAC,APAC,-7.56648,-34.85794,,
1191,CABO DE SANTO AGOSTINHO - PONTES DOS CARVALHOS*,APAC,-8.233,-34.979,,
1254,IPOJUCA - PORTO DE GALINHAS*,APAC,-8.507,-35.004,,
1183,JABOATÃO DOS GUARARAPES - PRAZERES*,APAC,-8.188,-34.953,,
1377,ARAÇOIABA - PREFEITURA MUNICIPAL - APAC,APAC,-7.78911,-35.09147,,
1426,TACAIMBÓ - PREFEITURA MUNICIPAL - APAC,APAC,-8.31639,-36.29167,,
1288,GOIANA - PREFEITURA MUNICIPAL*,APAC,-7.586,-34.998,,
1292,ALTINHO - PREFEITURA MUNICIPAL*,APAC,-8.49048,-36.06042,,
1300,SAIRÉ - PREFEITURA MUNICIPAL*,APAC,-8.32887,-35.70838,,
1398,TAMANDARÉ - PSF - APAC,APAC,-8.75056,-35.10167,,
1514,QUIPAPÁ - QUIPAPA - APAC,APAC,-8.824278,-36.006806,,
1257,VILA NOVA - QUIPAPA [VILA NOVA],APAC,-8.844,-36.115,,
1480,QUIXABA - QUIXABA - APAC,APAC,-7.71775,-37.84935,,
1492,PARNAMIRIM - QUIXABA - APAC,APAC,-8.01303,-39.77331,,
1498,PETROLINA - RAJADA - APAC,APAC,-8.814444,-40.830528,,
1180,ALTO DO CÉU - RECIFE [ALTO DO CÉU],APAC,-8.012,-34.892,345,FUNDAO
1182,ALTO DO MANDU - RECIFE [ALTO DO MANDU],APAC,-8.024,-34.927,493,ALTO DO MANDU
1275,AREIAS - RECIFE [AREIAS],APAC,-8.102,-34.929,841,CACOTE
1285,BOA VISTA - RECIFE [BOA VISTA],APAC,-8.069,-34.891,60,COELHOS
1261,CAMPINA DO BARRETO - RECIFE [CAMPINA DO BARRETO],APAC,-8.013,-34.881,310,CAMPINA DO BARRETO
1237,CÓRREGO DO JENIPAPO - RECIFE [CÓRREGO DO JENIPAPO],APAC,-8.007,-34.936,620,CORREGO DO JENIPAPO
1179,DOIS UNIDOS - RECIFE [DOIS UNIDOS],APAC,-7.99628,-34.90917,396,DOIS UNIDOS
1259,GUABIRABA - RECIFE [GUABIRABA] - APAC*,APAC,-7.994,-34.936,612,BREJO DA GUABIRABA
1262,IBURA - RECIFE [IBURA],APAC,-8.122,-34.955,884,COHAB
1260,MORRO DA CONCEIÇÃO - RECIFE [MORRO DA CONCEIÇÃO],APAC,-8.019,-34.915,531,MORRO DA CONCEICAO
1264,PINA - RECIFE [PINA],APAC,-8.099,-34.887,248,PINA
1284,PORTO - RECIFE [PORTO],APAC,-8.054,-34.873,19,RECIFE
1213,SAN MARTIN - RECIFE [SAN MARTIN],APAC,-8.073,-34.925,817,SAN MARTIN
1373,SANTO AMARO - APAC - RECIFE [SANTO AMARO] - APAC,APAC,-8.04491,-34.87518,108,SANTO AMARO
1265,TORREÃO - RECIFE [TORREÃO],APAC,-8.037,-34.884,175,ENCRUZILHADA
1174,UFRPE - RECIFE [UFRPE],APAC,-8.01838,-34.94706,590,DOIS IRMAOS
1181,UPA DA IMBIRIBEIRA - RECIFE [UPA DA IMBIRIBEIRA],APAC,-8.12097,-34.91398,264,IMBIRIBEIRA
1178,UPA NOVA DESCOBERTA - RECIFE [UPA NOVA DESCOBERTA] - APAC*,APAC,-8.00192,-34.94153,590,DOIS IRMAOS
1177,USF ALTO DA BELA VISTA-IBURA - RECIFE [USF ALTO DA BELA VISTA-IBURA],APAC,-8.12358,-34.94153,230,IBURA
1263,VÁRZEA - RECIFE [VÁRZEA],APAC,-8.039,-34.959,736,VARZEA
1168,VÁRZEA - RECIFE [VÁRZEA],APAC,-8.036,-34.98,736,VARZEA
1421,CARUARU - RENDEIRAS - APAC,APAC,-8.28262,-35.93812,,
1506,RIACHO DAS ALMAS - RIACHO DAS ALMAS - APAC,APAC,-8.138333,-35.859722,,
1522,BELÃ‰M DO SÃƑO FRANCISCO - RIACHO PEQUENO - APAC,APAC,-8.72275,-39.032278,,
1276,SÃO LOURENÇO DA MATA - RUA DOS MILAGRES*,APAC,-8.01,-35.016,,
1277,CARUARU - RUA DOS MILAGRES*,APAC,-8.297,-36.031,,
1282,IPOJUCA - RURÓPOLIS*,APAC,-8.411,-35.07,,
1504,SANTA MARIA DO CAMBUCA - S M DO CAMBUCA - APAC,APAC,-7.83007,-35.88415,,
1390,AMARAJI - SAAE - APAC,APAC,-8.37778,-35.4475,,
1460,XEXEÚ - SAAE - APAC,APAC,-8.81,-35.62722,,
1413,GAMELEIRA - SAAE - APAC,APAC,-8.58314,-35.38547,,
1401,ÁGUA PRETA - SAAE - APAC,APAC,-8.70861,-35.52167,,
1578,SALGADINHO - SALGADINHO [MEU REFÃºGIO] - APAC,APAC,-7.93941,-35.63416,,
1577,SALGUEIRO - SALGUEIRO [IPA] - APAC,APAC,-8.07334,-39.12981,,
1521,PESQUEIRA - SALOBRO - APAC,APAC,-8.610294,-36.699811,,
1302,PETROLINA - SAMU*,APAC,-9.37883,-40.53536,,
1207,PALMARES - SANTO ONOFRE*,APAC,-8.674,-35.59,,
1501,BETÂNEA - SÃO CAETANO DO NAVIO - APAC,APAC,-8.18228,-37.98128,,
1400,TAMANDARÉ - SAUÉ - APAC,APAC,-8.76867,-35.31305,,
1447,CAETÉS - SECRETÁRIA DE AGRICULTURA - APAC,APAC,-8.77333,-36.62167,,
1448,CAPOEIRAS - SECRETÁRIA DE EDUCAÇÃO - APAC,APAC,-8.7348,-36.627,,
1374,ILHA DE ITAMARACÁ - SERES - APAC,APAC,-7.76845,-34.86882,,
1502,PALMARES - SERRO AZUL - APAC,APAC,-8.5925,-35.66444,,
1226,IPUBI - SERROLÂNDIA*,APAC,-7.47,-40.278,,
1235,MARAIAL - SERTÃOZINHO DE BAIXO,APAC,-8.884,-35.748,,
1449,JOÃO ALFREDO - SÍTIO CASCAVÉL - APAC,APAC,-7.86489,-35.56781,,
1379,PAULISTA - SÍTIO PICA PAU - APAC,APAC,-7.93168,-34.94455,418,GUABIRABA
1563,SOLIDÃƑO - SOLIDAO - APAC,APAC,-7.60213,-37.65258,,
1519,PALMARES - STO ANTONIO PALMARES - APAC,APAC,-8.76139,-35.675,,
1572,CORPO DE BOMBEIROS - SURUBIM [BOMBEIROS],APAC,-7.84449,-35.75571,,
1205,OLINDA - TABAJARA*,APAC,-7.973,-34.868,,
1569,TACARATU - TACARATU - APAC,APAC,-9.10687,-38.14931,,
1570,CAIC - APAC - TAQUARITINGA DO NORTE,APAC,-7.89838,-36.05043,,
1517,TEREZINHA - TEREZINHA - APAC,APAC,-9.056936,-36.623556,,
1579,TERRA NOVA - TERRA NOVA [ESCOLA FRANCISCO HUGO] - APAC,APAC,-8.22468,-39.3766,,
1192,CARUARU - TERRA VERMELHA*,APAC,-8.373,-35.986,,
1171,CAMARAGIBE - TIMBI*,APAC,-8.026,-34.993,,
1267,SÃO LOURENÇO DA MATA - TIÚMA*,APAC,-7.979,-35.073,,
1246,CABO DE SANTO AGOSTINHO - TORRINHA*,APAC,-8.287,-35.033,,
