ano,n_episodios,recall_top10_pct,recall_top20_pct,lead_time_mediano
2023,117,42.73504273504273,62.39316239316239,3.0
2024,406,37.19211822660098,57.389162561576356,2.0
2025,397,38.287153652392945,56.42317380352645,2.0
