codigo_rpa,n_episodios,detectado_v2_casos_incidencia_k5,detectado_v2_casos_incidencia_k10,detectado_v2_casos_incidencia_k20
1,159,0.20125786163522014,0.3522012578616352,0.5031446540880503
2,202,0.19801980198019803,0.3811881188118812,0.5346534653465347
3,377,0.23342175066312998,0.3740053050397878,0.5676392572944297
4,122,0.2459016393442623,0.30327868852459017,0.45901639344262296
5,243,0.3786008230452675,0.5637860082304527,0.7325102880658436
6,78,0.19230769230769232,0.24358974358974358,0.358974358974359
