k,melhor_baseline,observado,n,n_reamostragens,ic_baixo,ic_alto,ic_baixo_cluster_bairro,ic_alto_cluster_bairro,ic_baixo_cluster_bairro_ano,ic_alto_cluster_bairro_ano,v1_recall_observado
5,razao_historica_incidencia,0.05673158340389503,1181,2000,0.027942421676545287,0.08552074513124475,0.01065477676310468,0.10168835295570255,0.019016683248410014,0.0942491410622748,0.2576086956521739
10,crescimento_incidencia,0.029635901778154117,1181,2000,-0.0067950889077053695,0.06773920406435224,-0.02961777600531022,0.09265291588637134,-0.016039589474596837,0.0780595924406189,0.38369565217391305
15,crescimento_incidencia,-0.022861981371718854,1181,2000,-0.059271803556308233,0.014394580863674844,-0.07292993944222056,0.028096091901226222,-0.06419238897487797,0.019928046872053976,0.4815217391304348
20,crescimento_incidencia,-0.07027942421676536,1181,2000,-0.10753598645215912,-0.034695173581710474,-0.11466944433275704,-0.027551012261191925,-0.10897203383372712,-0.03184911248065989,0.5760869565217391
