max_depth,learning_rate,max_iter,pr_auc_media_walk_forward,pr_auc_mediana_walk_forward,pr_auc_min_walk_forward
4,0.1,150,0.33687858842387436,0.32730132167481907,0.07378601651025159
6,0.1,200,0.33329779261233233,0.3232560454790647,0.07389186357346886
6,0.05,300,0.33756878937132884,0.3258864966845242,0.07285101237940708
8,0.1,200,0.3358728746821828,0.32322240768299826,0.07144305176369037
