ano,n_linhas,casos_totais,casos_medio,pct_positivo,pct_indefinido,limiar_medio,n_bairros_com_caso,pct_tipo_geral
2013,4888,3220.0,0.6587561374795418,0.0,100.0,,92,0.0
2014,4982,1201.0,0.24106784423926134,2.1075873143315937,0.0,1.812765957446808,89,100.0
2015,4888,33294.0,6.811374795417349,59.49263502454992,0.0,1.3553191489361716,94,100.0
2016,4888,19141.0,3.9159165302782326,18.269230769230766,0.0,7.716612111292961,93,7.6923076923076925
2017,4888,2486.0,0.5085924713584288,1.1456628477905073,0.0,8.366407528641574,91,3.8461538461538463
2018,4888,2633.0,0.5386661211129297,2.0049099836333877,0.0,7.526963993453355,92,0.0
2019,4888,7245.0,1.482201309328969,11.7430441898527,0.0,6.793637479541737,93,0.0
2020,4982,3585.0,0.7195905258932156,4.4359694901645925,0.0,6.393235648334004,91,0.0
2021,4888,10891.0,2.2281096563011458,16.653027823240592,0.0,5.849488543371524,93,0.0
2022,4888,2876.0,0.588379705400982,1.9639934533551555,0.0,5.672933715220951,92,0.0
2023,4888,3522.0,0.7205400981996727,2.5777414075286416,0.0,4.963113747954176,92,0.0
2024,4888,10536.0,2.155482815057283,11.395253682487725,0.0,4.546051554828152,93,0.0
2025,4982,9162.0,1.8390204737053393,12.846246487354476,0.0,4.495503813729427,93,0.0
