inicio_ano_excluido,n_episodios,recall_modelo,recall_melhor_baseline
2023,973,0.2517985611510791,0.1695786228160329
2024,677,0.258493353028065,0.20827178729689808
2025,712,0.2443820224719101,0.21629213483146068
