inicio_ano,n_episodios,detectado_v2_casos_incidencia_k5,detectado_v2_casos_incidencia_k10,tipo_populacao_dominante
2023,208,0.25,0.3894230769230769,PROJECAO_POS_CENSO
2024,504,0.24206349206349206,0.3869047619047619,PROJECAO_POS_CENSO
2025,469,0.2622601279317697,0.4072494669509595,PROJECAO_POS_CENSO
