codigo_rpa,n_episodios,recall5_modelo,recall10_modelo,recall20_modelo
1,129,0.20155038759689922,0.31007751937984496,0.5038759689922481
2,146,0.22602739726027396,0.3972602739726027,0.636986301369863
3,277,0.21660649819494585,0.3140794223826715,0.5379061371841155
4,97,0.25773195876288657,0.35051546391752575,0.5360824742268041
5,197,0.41624365482233505,0.5939086294416244,0.7411167512690355
6,74,0.14864864864864866,0.22972972972972974,0.33783783783783783
