variante,n_features,recall5,recall10
v1_features,38,0.24216765453005928,0.3861134631668078
v1_mais_populacao,40,0.24216765453005928,0.384419983065199
v2_incidencia,29,0.2497883149872989,0.397121083827265
v2_casos_incidencia,49,0.2514817950889077,0.3954276037256562
v2_casos_incidencia_populacao,51,0.2447078746824725,0.3911939034716342
