k,recall_micro,recall_macro,n_positivos_totais,n_semanas_com_positivo
5,0.13151927437641722,0.1453932435608695,1323,138
10,0.23885109599395313,0.2624488064153984,1323,138
20,0.40967498110355255,0.4586813986671608,1323,138
