ano_teste,n_treino,n_teste,precision,recall,f1,pr_auc,roc_auc,n_positivos
2019,24440,4888,0.40253748558246827,0.60801393728223,0.48438584316446914,0.4466654161940983,0.8547561702519468,574
2020,29328,4982,0.28205128205128205,0.4954954954954955,0.35947712418300654,0.28832782559466846,0.8587511355893708,222
2021,34310,4888,0.4753623188405797,0.8058968058968059,0.5979945305378305,0.6517214980830195,0.8915727047170346,814
2022,39198,4888,0.1337579617834395,0.22105263157894736,0.16666666666666666,0.14261619251553223,0.7937156159750515,95
2023,44086,4888,0.08943089430894309,0.17054263565891473,0.11733333333333333,0.07399788133094898,0.7316402540433385,129
2024,48974,4888,0.21440536013400335,0.4563279857397504,0.2917378917378917,0.2547448820480288,0.6642756772856421,561
2025,53862,4888,0.26904598490048043,0.6192733017377567,0.3751196172248804,0.37070975240473625,0.769412251732466,633
