k,melhor_baseline,delta_B_menos_A,ic_baixo_B_menos_A,ic_alto_B_menos_A,ic_baixo_B_menos_A_cluster_bairro,ic_alto_B_menos_A_cluster_bairro,ic_baixo_B_menos_A_cluster_bairro_ano,ic_alto_B_menos_A_cluster_bairro_ano,delta_A_vs_baseline,ic_baixo_A_vs_baseline,ic_alto_A_vs_baseline,ic_baixo_A_vs_baseline_cluster_bairro,ic_alto_A_vs_baseline_cluster_bairro,ic_baixo_A_vs_baseline_cluster_bairro_ano,ic_alto_A_vs_baseline_cluster_bairro_ano,delta_B_vs_baseline,ic_baixo_B_vs_baseline,ic_alto_B_vs_baseline,ic_baixo_B_vs_baseline_cluster_bairro,ic_alto_B_vs_baseline_cluster_bairro,ic_baixo_B_vs_baseline_cluster_bairro_ano,ic_alto_B_vs_baseline_cluster_bairro_ano
5,razao_historica_local,-0.0010869565217391242,-0.02282608695652172,0.02065217391304347,-0.02464225612432369,0.022298731852871945,-0.024709175168042902,0.02370744447691409,0.05978260869565219,0.028260869565217395,0.09130434782608696,0.018887841832963766,0.10169858787667332,0.024040449037776208,0.09601003460985255,0.058695652173913065,0.02717391304347827,0.08804347826086958,0.021411053191923993,0.09750876334238617,0.02421589880768886,0.09287501897807357
10,razao_historica_local,0.028260869565217395,0.004347826086956497,0.05326086956521736,0.0020972947338830763,0.05335086047220149,0.0040331975079163866,0.0529226644959419,0.026086956521739146,-0.007608695652173871,0.05978260869565216,-0.018160873709118078,0.06851144002604649,-0.011376888211650726,0.06500717973786316,0.05434782608695654,0.019565217391304346,0.09024456521739119,0.008740339894247284,0.10069759915982801,0.013441971537795574,0.09705615684256776
15,crescimento_recente,0.03369565217391307,0.009782608695652173,0.05869565217391298,0.0073757976463132025,0.05921309354291035,0.009056736369519437,0.05876558956916104,-0.0065217391304348005,-0.05217391304347829,0.03913043478260869,-0.06540985687300745,0.04946819996074064,-0.059843431546883964,0.0467873533911269,0.02717391304347827,-0.018478260869565166,0.07176630434782597,-0.0370904548088065,0.08873919457162001,-0.031696595484613184,0.08485797209530117
20,crescimento_recente,0.019565217391304346,-0.0010869565217391797,0.04239130434782612,-0.004431422816333996,0.04222598049568566,-0.003326592674255924,0.042345730792834615,-0.05543478260869561,-0.10108695652173905,-0.013043478260869597,-0.1070309408610435,-0.0031772984617575283,-0.10573042080876803,-0.00525762355415349,-0.035869565217391264,-0.07934782608695656,0.006521739130434856,-0.09305438251396186,0.0186921353227305,-0.09006954740204513,0.016522110585859128
