ano_teste,horizonte,n_teste,prevalencia,pr_auc,precision,recall,f1,eventos_reais,eventos_top10_antes,taxa_top10_antes,lead_time_mediano_top10
2019,1,4888,0.06505728314238952,0.3342024829365158,0.20207253886010362,0.7358490566037735,0.3170731707317073,318,174,0.5471698113207547,2.0
2020,1,4982,0.030309112806101966,0.17532132164467465,0.1225071225071225,0.5695364238410596,0.20164126611957797,150,73,0.4866666666666667,2.0
2021,1,4888,0.06976268412438626,0.356924897788278,0.229706390328152,0.7800586510263929,0.3549032688458973,341,159,0.4662756598240469,2.0
2022,1,4888,0.016366612111292964,0.04937929119910328,0.045454545454545456,0.4375,0.08235294117647059,81,40,0.49382716049382713,2.5
2023,1,4888,0.024549918166939442,0.07755799770379904,0.0580964153275649,0.39166666666666666,0.10118406889128095,117,60,0.5128205128205128,2.0
2024,1,4888,0.08367430441898527,0.14674847647404674,0.12475633528265107,0.6259168704156479,0.20804550995530272,406,179,0.4408866995073892,2.0
2025,1,4888,0.07999181669394435,0.2412378480106555,0.14331649058337162,0.7979539641943734,0.24299065420560748,397,155,0.3904282115869018,2.0
