inicio_ano,n_episodios,recall5_modelo,recall10_modelo,recall5_melhor_baseline,recall10_melhor_baseline,delta5,delta10,lead_time_mediano
2023,117,0.3076923076923077,0.42735042735042733,0.2905982905982906,0.4700854700854701,0.01709401709401709,-0.04273504273504275,3.0
2024,406,0.25862068965517243,0.37192118226600984,0.2019704433497537,0.3817733990147783,0.05665024630541873,-0.009852216748768461,2.0
2025,397,0.24181360201511334,0.38287153652392947,0.16624685138539042,0.29974811083123426,0.07556675062972293,0.08312342569269521,2.0
