ano_excluido,n_episodios,recall5_modelo,recall5_melhor_baseline,recall10_modelo,recall10_melhor_baseline
2023,803,0.2503113325031133,0.1843088418430884,0.37733499377334995,0.3412204234122042
2024,514,0.25680933852140075,0.19455252918287938,0.39299610894941633,0.33852140077821014
2025,523,0.2695984703632887,0.22179732313575526,0.384321223709369,0.40152963671128106
