configuracao,n_features,pr_auc,roc_auc,recall,precision,f1
epi_basica,12,0.2647356600428968,0.683179564040926,0.4565381708238851,0.21052631578947367,0.2881679389312977
+sazonal,18,0.28886015607706556,0.7528652317434483,0.45427059712774,0.2702338129496403,0.3388779250070482
+territorio,30,0.2915189298603932,0.7534113746273897,0.4512471655328798,0.2697695436059648,0.3376696832579186
+historico_local,33,0.30050193750478577,0.7706515465625405,0.4557823129251701,0.28190743338008417,0.3483535528596187
+momentum (completo),38,0.3032564592014253,0.7720623000051614,0.46485260770975056,0.2781546811397558,0.34804753820033957
