k,melhor_baseline,observado,n,n_reamostragens,ic_baixo,ic_alto,ic_baixo_cluster_bairro,ic_alto_cluster_bairro,ic_baixo_cluster_bairro_ano,ic_alto_cluster_bairro_ano
5,razao_historica_local,0.05978260869565219,920,2000,0.028260869565217395,0.09130434782608696,0.018887841832963766,0.10169858787667332,0.024040449037776208,0.09601003460985255
10,razao_historica_local,0.026086956521739146,920,2000,-0.007608695652173871,0.05978260869565216,-0.018160873709118078,0.06851144002604649,-0.011376888211650726,0.06500717973786316
15,crescimento_recente,-0.0065217391304348005,920,2000,-0.05217391304347829,0.03913043478260869,-0.06540985687300745,0.04946819996074064,-0.059843431546883964,0.0467873533911269
20,crescimento_recente,-0.05543478260869561,920,2000,-0.10108695652173905,-0.013043478260869597,-0.1070309408610435,-0.0031772984617575283,-0.10573042080876803,-0.00525762355415349
