codigo_rpa,n_episodios,recall_top10_pct,recall_top20_pct
1,129,31.007751937984494,50.3875968992248
2,146,39.726027397260275,63.6986301369863
3,277,31.40794223826715,53.79061371841155
4,97,35.051546391752574,53.608247422680414
5,197,59.390862944162436,74.11167512690355
6,74,22.972972972972975,33.78378378378378
