k,metodo,observado,n,n_reamostragens,ic_baixo,ic_alto
5,A_sem_clima,0.2576086956521739,920,2000,0.22934782608695653,0.2858967391304347
5,B_com_clima_grade,0.2565217391304348,920,2000,0.22826086956521738,0.2847826086956522
5,casos_atuais,0.11413043478260869,920,2000,0.09456521739130434,0.1348097826086955
5,crescimento_recente,0.18369565217391304,920,2000,0.15978260869565217,0.20978260869565218
5,razao_historica_local,0.19782608695652174,920,2000,0.17282608695652174,0.22391304347826088
10,A_sem_clima,0.38369565217391305,920,2000,0.3521739130434783,0.4152173913043478
10,B_com_clima_grade,0.41195652173913044,920,2000,0.3804076086956522,0.44350543478260857
10,casos_atuais,0.20434782608695654,920,2000,0.1793478260869565,0.2315489130434781
10,crescimento_recente,0.3467391304347826,920,2000,0.31521739130434784,0.3782608695652174
10,razao_historica_local,0.3576086956521739,920,2000,0.32717391304347826,0.38913043478260867
15,A_sem_clima,0.4815217391304348,920,2000,0.4489130434782609,0.5152173913043478
15,B_com_clima_grade,0.5152173913043478,920,2000,0.4826086956521739,0.5467663043478259
15,casos_atuais,0.29782608695652174,920,2000,0.2673913043478261,0.32717391304347826
15,crescimento_recente,0.4880434782608696,920,2000,0.45543478260869563,0.5217391304347826
15,razao_historica_local,0.48695652173913045,920,2000,0.45543478260869563,0.5195652173913043
20,A_sem_clima,0.5760869565217391,920,2000,0.5423913043478261,0.6086956521739131
20,B_com_clima_grade,0.5956521739130435,920,2000,0.5641304347826087,0.6260869565217392
20,casos_atuais,0.37717391304347825,920,2000,0.345625,0.40869565217391307
20,crescimento_recente,0.6315217391304347,920,2000,0.6,0.6630434782608695
20,razao_historica_local,0.5793478260869566,920,2000,0.5478260869565217,0.6108695652173913
