codigo_bairro,inicio_indice,inicio_ano,melhor_posicao_antes_do_inicio,semanas_antecedencia_melhor_posicao,posicao_na_semana_de_inicio
590,585,2024,41.0,4,88.0
590,600,2024,82.0,1,45.0
590,602,2024,20.0,1,25.0
590,649,2025,23.0,2,56.0
590,658,2025,22.0,4,69.0
590,665,2025,23.0,2,72.0
590,667,2025,23.0,4,80.0
60,666,2025,60.0,4,76.0
60,669,2025,37.0,1,36.0
604,554,2023,67.0,4,74.0
604,584,2024,62.0,3,79.0
604,586,2024,35.0,1,49.0
604,588,2024,9.0,1,26.0
604,598,2024,9.0,4,78.0
604,600,2024,12.0,1,6.0
604,604,2024,4.0,3,16.0
604,642,2025,32.0,1,51.0
604,651,2025,15.0,4,27.0
604,654,2025,1.0,1,6.0
604,658,2025,6.0,4,40.0
604,660,2025,8.0,4,26.0
604,665,2025,31.0,3,52.0
604,673,2025,3.0,3,28.0
612,572,2023,15.0,3,12.0
612,583,2024,61.0,4,36.0
612,587,2024,1.0,2,19.0
612,599,2024,47.0,3,77.0
612,607,2024,27.0,1,40.0
612,610,2024,7.0,1,4.0
612,627,2025,12.0,4,17.0
612,659,2025,26.0,1,31.0
612,662,2025,18.0,2,28.0
612,667,2025,9.0,3,38.0
612,670,2025,20.0,4,57.0
612,676,2025,31.0,4,31.0
620,554,2023,19.0,4,70.0
620,615,2024,37.0,2,61.0
620,617,2024,4.0,1,12.0
620,664,2025,52.0,1,38.0
647,589,2024,60.0,2,74.0
647,591,2024,19.0,1,29.0
647,627,2025,70.0,3,81.0
655,558,2023,29.0,1,35.0
655,587,2024,53.0,1,29.0
655,594,2024,20.0,3,76.0
655,653,2025,48.0,3,87.0
655,656,2025,13.0,1,26.0
655,659,2025,7.0,1,15.0
655,662,2025,7.0,4,32.0
663,570,2023,11.0,1,16.0
663,572,2023,1.0,1,3.0
663,624,2024,27.0,3,9.0
663,648,2025,64.0,3,49.0
671,581,2024,4.0,2,54.0
671,584,2024,8.0,4,16.0
