threshold,precision,recall,f1,falsos_positivos,falsos_negativos
0.1,0.12287608785743888,0.8964474678760394,0.21612756264236901,8466,137
0.2,0.15576565406075635,0.7596371882086168,0.2585209003215434,5447,318
0.3,0.19240278714317824,0.6470143613000756,0.2966042966042966,3593,467
0.4,0.22637858755240245,0.5306122448979592,0.31735985533453887,2399,621
0.5,0.2697695436059648,0.4512471655328798,0.3376696832579186,1616,726
0.6,0.3126177024482109,0.3764172335600907,0.34156378600823045,1095,825
0.7,0.3717228464419476,0.3000755857898715,0.33207862818904227,671,926
0.8,0.43781942078364566,0.1942554799697657,0.26910994764397905,330,1066
0.9,0.5446428571428571,0.09221466364323508,0.1577246283128636,102,1201
