inicio_ano,n_episodios,detectado_A_sem_clima_k5,detectado_B_com_clima_grade_k5,detectado_A_sem_clima_k10,detectado_B_com_clima_grade_k10
2023,117,0.3076923076923077,0.3247863247863248,0.42735042735042733,0.46153846153846156
2024,406,0.25862068965517243,0.2438423645320197,0.37192118226600984,0.41133004926108374
2025,397,0.24181360201511334,0.24937027707808565,0.38287153652392947,0.3979848866498741
