ano_teste,n_treino,n_teste,n_positivos,pr_auc,roc_auc,recall,precision,f1,prevalencia,lift_pr_auc
2019,24440,4888,574,0.486218795008915,0.8663172653979668,0.6445993031358885,0.4277456647398844,0.5142460041695622,0.117430441898527,4.140483397218775
2020,29328,4982,222,0.32730132167481907,0.8604034181240064,0.49099099099099097,0.30277777777777776,0.3745704467353952,0.04456041750301084,7.34511344407184
2021,34310,4888,814,0.6638663677354528,0.8972714849003509,0.8108108108108109,0.48,0.6030150753768844,0.1665302782324059,3.986460449006011
2022,39198,4888,95,0.1417797506314711,0.8072232532091757,0.24210526315789474,0.1393939393939394,0.17692307692307693,0.019435351882160393,7.2949412745961135
2023,44086,4888,129,0.07378601651025159,0.7433088835352356,0.17829457364341086,0.09663865546218488,0.12534059945504086,0.026391162029459903,2.7958608426520137
2024,48974,4888,561,0.27987062593039347,0.6876242818071827,0.48841354723707664,0.2247744052502051,0.30786516853932583,0.1147708674304419,2.438516255878366
2025,53862,4888,633,0.38532724147581715,0.7831732206139788,0.6635071090047393,0.2813127930341594,0.3951081843838194,0.12950081833060556,2.975481131648964
