feature,grupo,n,media,mediana,p90,media_referencia,ks_estatistica,ks_p_valor
casos_t,val_2020_2022,14758,1.1757690744003253,0.0,3.0,2.2504091653027825,0.0656699452013858,2.957864374051977e-37
casos_t,2023,4888,0.7205400981996727,0.0,2.0,2.2504091653027825,0.09622204037097659,3.2305919998912334e-34
casos_t,2024,4888,2.155482815057283,1.0,5.300000000000182,2.2504091653027825,0.14753818876159297,4.509353080356607e-80
casos_t,2025,4888,1.8655891980360066,1.0,5.0,2.2504091653027825,0.17740725586470263,7.884894762680194e-116
media_4s,val_2020_2022,14758,1.1782761891855265,0.25,2.75,2.248602018548827,0.07496433920237966,1.981718273616021e-48
media_4s,2023,4888,0.7139934533551555,0.25,2.0,2.248602018548827,0.11777141298417904,4.3056430081647336e-51
media_4s,2024,4888,2.1512377250409167,1.0,5.25,2.248602018548827,0.19370567375886522,3.4114976169873e-138
media_4s,2025,4888,1.8632364975450082,1.0,4.75,2.248602018548827,0.2057760501909438,4.5681970282274603e-156
media_8s,val_2020_2022,14758,1.1830532592492207,0.375,2.75,2.246066046099291,0.07180004065591539,1.8525231084104565e-44
media_8s,2023,4888,0.7040200490998363,0.375,1.875,2.246066046099291,0.1270799236224769,1.9091706493461657e-59
media_8s,2024,4888,2.1382211538461537,1.0,5.125,2.246066046099291,0.1989907255864702,6.997267194822714e-146
media_8s,2025,4888,1.8434686988543372,1.0,4.875,2.246066046099291,0.2134138025095471,5.889179248798065e-168
tendencia_1s,val_2020_2022,14758,-0.0006098387315354384,0.0,1.0,0.0005455537370430987,0.025749615158749184,4.350790614024217e-06
tendencia_1s,2023,4888,0.0028641571194762683,0.0,1.0,0.0005455537370430987,0.03733633387888706,1.6428534149170166e-05
tendencia_1s,2024,4888,0.0028641571194762683,0.0,2.0,0.0005455537370430987,0.07480905619203482,7.718968725112017e-21
tendencia_1s,2025,4888,-0.004091653027823241,0.0,2.0,0.0005455537370430987,0.07528641571194766,4.2268636107737105e-21
estado_alto_risco_t,val_2020_2022,14758,0.07663640059628676,0.0,0.0,0.15800600109110746,0.08136960049482067,5.402890618620662e-57
estado_alto_risco_t,2023,4888,0.025777414075286414,0.0,0.0,0.15800600109110746,0.1322285870158212,2.42025869678177e-64
estado_alto_risco_t,2024,4888,0.11395253682487726,0.0,1.0,0.15800600109110746,0.04405346426623036,1.669573480607624e-07
estado_alto_risco_t,2025,4888,0.12970540098199673,0.0,1.0,0.15800600109110746,0.02830060010911084,0.0023855967222437785
media_historica_semana_exata,val_2020_2022,14758,1.9165538680123988,0.8888888888888888,4.857142857142857,1.8553509729041646,0.22076835336592754,0.0
media_historica_semana_exata,2023,4888,1.7707446808510638,0.9,4.5,1.8553509729041646,0.24512411347517726,3.528050364404759e-222
media_historica_semana_exata,2024,4888,1.6752715369736646,0.9090909090909091,4.181818181818182,1.8553509729041646,0.25105701036552097,3.344201338095048e-233
media_historica_semana_exata,2025,4888,1.7152891434806325,0.9166666666666666,4.333333333333333,1.8553509729041646,0.26067239498090555,1.1601238317368444e-251
